Time,Day,Hour,K_Value
2023-01-02 12:51,Monday,12,1
2023-01-02 13:43,Monday,13,1
2023-01-02 14:43,Monday,14,1
2023-01-02 16:21,Monday,16,1
2023-01-03 04:26,Tuesday,4,1
2023-01-03 08:07,Tuesday,8,1
2023-01-03 09:06,Tuesday,9,1
2023-01-03 09:49,Tuesday,9,1
2023-01-03 10:23,Tuesday,10,1
2023-01-03 11:10,Tuesday,11,1
2023-01-03 11:40,Tuesday,11,1
2023-01-03 12:49,Tuesday,12,1
2023-01-03 14:20,Tuesday,14,1
2023-01-03 15:58,Tuesday,15,1
2023-01-03 21:12,Tuesday,21,1
2023-01-04 06:07,Wednesday,6,1
2023-01-04 08:24,Wednesday,8,1
2023-01-04 09:12,Wednesday,9,1
2023-01-04 10:12,Wednesday,10,1
2023-01-04 11:00,Wednesday,11,1
2023-01-04 11:47,Wednesday,11,1
2023-01-04 12:16,Wednesday,12,1
2023-01-04 12:41,Wednesday,12,1
2023-01-04 13:31,Wednesday,13,1
2023-01-04 14:05,Wednesday,14,1
2023-01-04 15:06,Wednesday,15,1
2023-01-04 16:05,Wednesday,16,1
2023-01-04 22:29,Wednesday,22,1
2023-01-05 07:28,Thursday,7,1
2023-01-05 08:47,Thursday,8,1
2023-01-05 09:23,Thursday,9,1
2023-01-05 10:16,Thursday,10,1
2023-01-05 10:50,Thursday,10,1
2023-01-05 11:45,Thursday,11,1
2023-01-05 12:21,Thursday,12,1
2023-01-05 12:46,Thursday,12,1
2023-01-05 13:13,Thursday,13,1
2023-01-05 14:11,Thursday,14,1
2023-01-05 14:41,Thursday,14,1
2023-01-05 15:51,Thursday,15,1
2023-01-05 16:50,Thursday,16,1
2023-01-06 02:27,Friday,2,1
2023-01-06 07:37,Friday,7,1
2023-01-06 08:23,Friday,8,1
2023-01-06 09:19,Friday,9,1
2023-01-06 10:05,Friday,10,1
2023-01-06 10:53,Friday,10,1
2023-01-06 11:37,Friday,11,1
2023-01-06 12:15,Friday,12,1
2023-01-06 12:52,Friday,12,1
2023-01-06 13:31,Friday,13,1
2023-01-06 14:02,Friday,14,1
2023-01-06 14:33,Friday,14,1
2023-01-06 15:20,Friday,15,1
2023-01-06 16:57,Friday,16,1
2023-01-06 21:07,Friday,21,1
2023-01-07 05:58,Saturday,5,1
2023-01-07 08:09,Saturday,8,1
2023-01-07 09:14,Saturday,9,1
2023-01-07 10:11,Saturday,10,1
2023-01-07 10:43,Saturday,10,1
2023-01-07 11:30,Saturday,11,1
2023-01-07 12:02,Saturday,12,1
2023-01-07 12:31,Saturday,12,1
2023-01-07 13:06,Saturday,13,1
2023-01-07 13:56,Saturday,13,1
2023-01-07 14:30,Saturday,14,1
2023-01-07 14:46,Saturday,14,1
2023-01-07 15:27,Saturday,15,1
2023-01-07 17:11,Saturday,17,1
2023-01-08 05:44,Sunday,5,1
2023-01-08 06:40,Sunday,6,1
2023-01-08 08:06,Sunday,8,1
2023-01-08 09:26,Sunday,9,1
2023-01-08 09:55,Sunday,9,1
2023-01-08 10:12,Sunday,10,1
2023-01-08 11:05,Sunday,11,1
2023-01-08 11:44,Sunday,11,1
2023-01-08 12:00,Sunday,12,1
2023-01-08 12:49,Sunday,12,1
2023-01-08 13:16,Sunday,13,1
2023-01-08 14:04,Sunday,14,1
2023-01-08 14:32,Sunday,14,1
2023-01-08 15:35,Sunday,15,1
2023-01-08 17:05,Sunday,17,1
2023-01-08 19:21,Sunday,19,1
